"ID","CL","OP","HI","LO","VO","RSV","K","D","EMA","EMA.1","EMA.2","EMA.3","EMA.4","EMA.5","William_11","William_33","William_89","EMA.6","MTM","m_MTM","a_MTM"
"2010-08-19",25,0.0655,0.0667,0.0667,0.065,27600,32.5443786982249,44.3364976233669,50.8880739293903,0.0667278016719922,0.0665001407928966,NA,NA,NA,NA,35.2272727272727,0,0,0.0665659172156076,-0.00549999999999999,-0.0826248661486244,-0.148490380911796
"2010-08-22",26,0.06491,0.066,0.06689,0.063,28100,29.0532544378698,39.2420832282012,47.0060770289939,0.0661218677813281,0.0662555037478356,0.0653376923076923,0.000917811440143274,NA,NA,31.875,0,0,0.0662648413582244,-0.00509000000000001,-0.0768129809967208,0.00581188515190358
"2010-08-23",27,0.065,0.06491,0.0665,0.06491,44400,23.1762427372499,33.8868030645508,42.6329857075129,0.0657479118542187,0.0660623493250917,0.0653126780626781,0.000749671262413584,NA,NA,29.5857988165681,0,0,0.0660348702021836,-0.002,-0.0302870285634917,0.0465259524332291
"2010-08-24",28,0.0648,0.065,0.0665,0.0641,27800,18.7919463087248,28.8551841459421,38.0403851869893,0.0654319412361458,0.065868141736616,0.0652747019098871,0.000593439826728909,NA,NA,28.4023668639053,0,0,0.0658103483472411,-0.00520000000000001,-0.079014928967748,-0.0487279004042563
"2010-08-25",29,0.064,0.0648,0.0658,0.064,25100,13.4228187919463,23.7110623612769,33.2639442450851,0.0649546274907639,0.0655807353155982,0.0651802795461918,0.000400455769406394,NA,NA,16.7204648160103,0,0,0.0654811941022882,-5e-04,-0.00763578011755482,0.0713791488501932
"2010-08-26",30,0.065,0.064,0.065,0.063,58300,17.7608845888044,21.7276697704527,29.4185194202077,0.0649697516605093,0.0654913914208907,0.0651669255057331,0.000324465915157626,NA,NA,20.1342281879195,0,0,0.0653937042655085,-5e-04,-0.00764599598104923,-1.02158634944106e-05
"2010-08-29",31,0.06497,0.064,0.069,0.03211,213500,79.7766448167031,41.0773281192028,33.3047889865394,0.0649698344403395,0.0654111773561383,0.0651523384312344,0.000258838924903956,NA,NA,73.3645903103371,0,0,0.0653166671263252,-0.00503000000000001,-0.0770094406420306,-0.0693634446609813
"2010-08-30",32,0.06,0.06497,0.0649,0.06,93300,75.6031444835999,52.5859335740018,39.7318371823602,0.0633132229602263,0.0645786885321171,0.0647706837326244,-0.000191995200507361,NA,NA,62.2683634739897,0,0,0.0643500003760842,-0.00800000000000001,-0.124320123593554,-0.047310682951523
"2010-08-31",33,0.0629,0.06,0.0629,0.05961,43600,83.4643534833288,62.8787402104442,47.4474715250549,0.0631754819734842,0.0643204287579452,0.0646321145672448,-0.000311685809299619,NA,NA,74.7511531925225,50.508530183727,0,0.0640863639440689,-0.0038,-0.0592949851752618,0.0650251384182918
"2010-09-01",34,0.0634,0.0629,0.0634,0.0601,49800,84.819734345351,70.1924049220798,55.0291159907298,0.0632503213156562,0.0641788243336459,0.064540846821523,-0.000362022487877048,0.000264331071229968,-0.000626353559107016,84.819734345351,62.9577464788732,0,0.0639615704996927,-0.0021,-0.032832214462434,0.0264627707128278
"2010-09-02",35,0.06085,0.0634,0.063,0.06085,5400,77.9072919490377,72.7640339310657,60.9407553041751,0.0624502142104374,0.063666697513085,0.0642674507606694,-0.000600753247584407,9.13142074670932e-05,-0.0006920674550515,77.9072919490377,57.8269617706238,0,0.0633958304088395,-0.00405999999999999,-0.0640420667071804,-0.0312098522447464
"2010-09-05",36,0.0616,0.0616,0.0627,0.0616,5600,79.940363242071,75.1561437014008,65.6792181032503,0.062166809473625,0.0633487440495335,0.0640698618154347,-0.000721117765901183,-7.1172187206562e-05,-0.000649945578694621,79.940363242071,59.3360160965795,0,0.0630693157890505,-0.0034,-0.0539089406229182,0.0101331260842622
"2010-09-06",37,0.061,0.0616,0.06201,0.0603,21200,78.3139062076443,76.208731203482,69.1890558033276,0.0617778729824166,0.0629873988111437,0.063842464643921,-0.000855065832777266,-0.000227950916320703,-0.000627114916456563,78.3139062076443,64.5010046885465,0,0.0626930765546777,-0.0038,-0.0606127535739267,-0.00670381295100847
"2010-09-07",38,0.062,0.061,0.062,0.06099,14300,81.0246679316888,77.8140434462176,72.0640516842909,0.0618519153216111,0.062835491301737,0.0637059857814083,-0.000870494479671316,-0.000356459628990826,-0.00051403485068049,81.0246679316888,66.7336459031034,0,0.0625670626356454,-0.002,-0.0319657007337367,0.0286470528401899
"2010-09-08",39,0.06111,0.062,0.0624,0.06109,10700,78.6120899972892,78.0800589632415,74.0693874439411,0.0616046102144074,0.0625700311014698,0.063513690538341,-0.000943659436871261,-0.000473899590566913,-0.000469759846304348,78.6120899972892,64.7465952221478,0,0.0623021421564371,-0.00389,-0.0624376604937987,-0.030471959760062
"2010-09-09",40,0.0618,0.06111,0.0618,0.06014,30100,41.398865784499,65.8529945703273,71.3305898194032,0.0616697401429383,0.0624515647781667,0.0633867504984639,-0.000935185720297195,-0.000566156816512969,-0.000369028903784226,80.4825155868799,66.287117660192,0,0.0622108435825395,-0.00317,-0.05095574689956,0.0114819135942387
"2010-09-12",41,0.06219,0.0615,0.064,0.0607,63200,58.7699316628702,63.4919736011749,68.7177177466604,0.0618431600952922,0.0624113240430642,0.0632981023133925,-0.000886778270328376,-0.00063028110727605,-0.000256497163052325,81.5397126592572,67.1578477338692,0,0.0622070538402596,0.00219,0.0352050107633078,0.0861607576628678
"2010-09-13",42,0.06199,0.06219,0.175,0.061,87600,1.64490861618799,42.8762852728459,60.1039069220556,0.0618921067301948,0.0623465049595158,0.0632012058457338,-0.000854700886218002,-0.000675165063064441,-0.000179535823153561,2.06257041338071,20.911190426202,0,0.0621675895056669,-0.000909999999999994,-0.0146378524121004,-0.0498428631754082
"2010-09-14",43,0.0604,0.06199,0.0625,0.0604,22300,0.226362528295319,28.6596443579957,49.622486067369,0.0613947378201299,0.0620470426580518,0.0629937091164202,-0.000946666458368356,-0.000729465342125224,-0.000217201116243132,0.684634717046549,19.7984463573378,0,0.0618462095955456,-0.003,-0.0485074189609846,-0.0338695665488842
"2010-09-15",44,0.0619,0.0604,0.0619,0.0618,4500,1.53230019153752,19.6171963025097,39.6207228124159,0.0615631585467532,0.0620244207106593,0.062912693626315,-0.000888272915655741,-0.000761226856831327,-0.000127046058824414,1.56657963446474,20.84820491287,0,0.0618559896690828,0.00105,0.0169749123022247,0.0654823312632092
"2010-09-16",45,0.059,0.0619,0.0609,0.059,43800,0,13.0781308683398,30.7731921643905,0.0607087723645022,0.0615591252167117,0.0626228644688102,-0.0010637392520985,-0.000821729335884762,-0.00024200991621374,0,18.8186717055077,0,0.0613367188201586,-0.00260000000000001,-0.0423889645552005,-0.0593638768574252
"2010-09-19",46,0.0621,0.0627,0.0634,0.062,89100,2.67241379310345,9.60955850992767,23.7186476129029,0.0611725149096681,0.061642336721833,0.0625841337674168,-0.000941797045583871,-0.000845742877824584,-9.60541677592869e-05,2.67241379310346,20.9881727202743,0,0.0614754972164934,0.0011,0.017893307899995,0.0602822724551955
"2010-09-20",47,0.06265,0.0621,0.0633,0.0623,35900,3.14655172413793,7.45522291466442,18.2975060468234,0.0616650099397787,0.061797361841551,0.0625890127476082,-0.000791650906057206,-0.000834924483471109,4.32735774139024e-05,3.14655172413794,21.3730841906361,0,0.061689043177131,0.000649999999999998,0.0105367171627807,-0.00735659073721428
"2010-09-21",48,0.0622,0.06265,0.0624,0.06147,71700,2.75862068965517,5.88968883966134,14.1615669777694,0.0618433399598525,0.06185930617362,0.0625601969885261,-0.000700890814906034,-0.000808117749758094,0.00010722693485206,2.75862068965517,21.0581566239765,0,0.0617819444176526,0.00109,0.0176426949697711,0.00710597780699042
"2010-09-22",49,0.06231,0.0622,0.063,0.0615,97000,2.85344827586207,4.87760865172825,11.0669142024223,0.0619988933065683,0.0619286436853708,0.0625416638782649,-0.000613020192894081,-0.000769098238385292,0.00015607804549121,2.85344827586208,21.1351389180489,0,0.061877954523534,0.000509999999999997,0.00824203068648672,-0.00940066428328443
"2010-09-23",50,0.0622,0.06231,0.0624,0.06209,4200,2.75862068965517,4.17127933103722,8.76836924529396,0.0620659288710456,0.0619703908106984,0.0625163554428379,-0.00054596463213949,-0.000724471517136131,0.000178506884996642,2.75862068965517,21.0581566239765,0,0.0619365082465278,9.99999999999612e-06,0.000161455662953953,-0.00808057502353277
"2010-09-26",51,0.0622,0.062,0.06228,0.0619,66800,72.7272727272727,27.0232771297824,14.8533385401234,0.0621106192473637,0.0620057153013602,0.0624929217063314,-0.000487206404971199,-0.000677018494703145,0.000189812089731946,2.75862068965517,21.0581566239765,0,0.0619844158380682,0.000209999999999995,0.00338794836025577,0.00322649269730182
"2010-09-27",52,0.0619,0.0622,0.06271,0.0617,43900,65.9090909090909,39.9852150562185,23.2306307121551,0.0620404128315758,0.0619894514088432,0.0624490015799364,-0.000459550171093226,-0.000633524829981161,0.000173974658887935,2.5,20.84820491287,0,0.061969067503874,0.00149999999999999,0.0242056248451088,0.020817676484853
"2010-09-28",53,0.06191,0.0619,0.062,0.0615,145000,66.1363636363637,48.7022645829336,31.721175335748,0.0619969418877172,0.061977228115175,0.0624090755369782,-0.000431847421803161,-0.000593189348345561,0.0001613419265424,66.1363636363637,20.8552033032403,0,0.0619583279577151,1.00000000000031e-05,0.000161398803512383,-0.0240442260415964
"2010-09-29",54,0.0619,0.06191,0.0619,0.06155,48800,22.279792746114,39.8947739706604,34.4457082140521,0.0619646279251448,0.0619653468666865,0.0623713662379428,-0.000406019371256214,-0.000555755352927692,0.000149735981671478,65.9090909090909,20.84820491287,0,0.0619477228744941,0.0029,0.0468136658691295,0.0466522670656171
"2010-09-30",55,0.06197,0.0619,0.062,0.06189,10600,27.3224043715847,35.7039841043018,34.865133510802,0.0619664186167632,0.0619660627333501,0.0623416354055026,-0.000375572672152408,-0.000519718816772635,0.000144146144620227,67.5,20.8971936454615,0,0.0619517732609497,-0.000130000000000005,-0.00209840644031974,-0.0489120723094493
"2010-10-03",56,0.0613,0.06111,0.062,0.06081,207900,22.3744292237442,31.260799144116,33.6636887219067,0.0617442790778421,0.061863591543604,0.0622644772273172,-0.000400885683713201,-0.000495952190160748,9.50665064475474e-05,18.9189189189189,20.4283014906571,0,0.0618332690316861,-0.00135,-0.0218329068014857,-0.019734500361166
"2010-10-04",57,0.0614,0.0613,0.06301,0.0609,169900,26.8181818181819,29.7799267021379,32.3691013819837,0.0616295193852281,0.0617922697676649,0.0622004418771455,-0.000408172109480631,-0.000478396174024725,7.02240645440936e-05,23.694779116466,20.4982853943593,0,0.0617544928441068,-0.000799999999999995,-0.012954523033968,0.00887838376751771
"2010-10-05",58,0.06281,0.0614,0.0635,0.0612,209100,74.3494423791823,44.6364319278194,36.458211563929,0.0620230129234854,0.0619488436495626,0.0622455943306903,-0.000296750681127701,-0.00044206707544532,0.000145316394317619,74.3494423791823,21.4850584365596,0,0.0619464032360874,0.000500000000000007,0.00807149364418188,0.0210260166781499
"2010-10-06",59,0.067,0.06281,0.067,0.0628,281200,100,63.0909546185462,45.3357925821347,0.0636820086156569,0.062725944626553,0.0625977725284169,0.000128172098136037,-0.000328019240729049,0.000456191338865086,100,24.4173840016796,0,0.0628652390113442,0.00480000000000001,0.0763538018066523,0.0682823081624704
"2010-10-07",60,0.08685,0.067,0.088,0.01,1078400,98.525641025641,74.9025167542445,55.1913673061713,0.071404672410438,0.0664373377609294,0.0643942338226083,0.00204310393832116,0.000146205395080993,0.00189689854324017,98.525641025641,46.5757575757576,0,0.0672261046456453,0.02465,0.366673037653041,0.290319235846389
"2010-10-10",61,0.095,0.0965,0.103,0.091,139500,91.3978494623656,80.4009609902849,63.5945652008758,0.0792697816069586,0.0708315934900172,0.0666613276135262,0.00417026587649102,0.000951017491363,0.00321924838512803,91.3978494623656,51.5151515151515,0,0.0722759038009825,0.0331,0.45796729282201,0.0912942551689689
"2010-10-11",62,0.0949,0.095,0.099,0.082,239600,91.2903225806452,84.0307481870716,70.4066261962744,0.0844798544046391,0.0745344252607838,0.0687530811236354,0.00578134413714843,0.00191708282052008,0.00386426131662834,91.2903225806452,51.4545454545455,0,0.0763893758371675,0.03299,0.431866337935813,-0.0261009548861974
"2010-10-12",63,0.105,0.0949,0.105,0.092,455800,100,89.3538321247144,76.7223615057544,0.0913199029364261,0.0792214367591248,0.0714380380774402,0.00778339868168459,0.00309034599275299,0.00469305268893161,100,57.5757575757576,0,0.081591307503137,0.0431,0.528242545915113,0.0963762079793004
"2010-10-13",64,0.102,0.105,0.1045,0.065,370100,96.8421052631579,91.8499231708622,81.7648820607903,0.0948799352909507,0.0827258311038748,0.0737018871087409,0.00902394399513391,0.00427706559322917,0.00474687840190474,96.8421052631579,55.7575757575758,0,0.085301978866203,0.04003,0.469273990264487,-0.0589685556506268
"2010-10-14",65,0.105,0.102,0.119,0.092,255400,87.1559633027523,90.2852698814923,84.6050113343576,0.0982532901939671,0.0861526263186633,0.0760202658414267,0.0101323604772365,0.00544812457003065,0.0046842359072059,87.1559633027523,57.5757575757576,0,0.0888834372541661,0.0437,0.491655153648457,0.0223811633839701
"2010-10-17",66,0.1024,0.102,0.103,0.097,259100,84.7706422018349,88.4470606549398,85.8856944412184,0.0996355267959781,0.0886522222696382,0.0779743202235433,0.0106779020460949,0.0064940800652435,0.00418382198085141,84.7706422018349,56,0,0.091340994117045,0.041,0.448867459746084,-0.0427876939023725
